content,label,filtered,cleaned,content_tokens,normalisasi
ok,0,ok,ok,['ok'],['ok']
belum tau,0,belum tau,belum tau,"['belum', 'tau']","['belum', 'tau']"
2 bntng dlu,0,bntng dlu,bntng dlu,"['bntng', 'dlu']","['bintang', 'dulu']"
semoga sukses slalu,0,semoga sukses slalu,moga sukses slalu,"['moga', 'sukses', 'slalu']","['semoga', 'sukses', 'selalu']"
semoga lolos verifikasi,0,semoga lolos verifikasi,moga lolos verifikasi,"['moga', 'lolos', 'verifikasi']","['semoga', 'lolos', 'verifikasi']"
"saya kasih bintang 5 karena bagus, kalau jelek saya kurangi bintang nya",0,saya kasih bintang karena bagus kalau jelek saya kurangi bintang nya,saya kasih bintang bagus kalau jelek saya kurang bintang,"['saya', 'kasih', 'bintang', 'bagus', 'kalau', 'jelek', 'saya', 'kurang', 'bintang']","['aku', 'kasih', 'bintang', 'bagus', 'kalau', 'jelek', 'aku', 'kurang', 'bintang']"
semoga sesuai dengan pengajuannya,0,semoga sesuai dengan pengajuannya,moga sesuai dengan aju,"['moga', 'sesuai', 'dengan', 'aju']","['semoga', 'sesuai', 'dengan', 'aju']"
diacc tmbh 2 lgi,0,diacc tmbh lgi,diacc tmbh lgi,"['diacc', 'tmbh', 'lgi']","['terima', 'tmbh', 'lagi']"
sedang di proses,0,sedang di proses,sedang proses,"['sedang', 'proses']","['sedang', 'proses']"
mohon data2 saya jgn salah gunakan..pengajuan saya di tolak.tks,0,mohon data saya jgn salah gunakan pengajuan saya di tolak tks,mohon data saya jgn salah guna aju saya tolak tks,"['mohon', 'data', 'saya', 'jgn', 'salah', 'guna', 'aju', 'saya', 'tolak', 'tks']","['mohon', 'data', 'aku', 'jangan', 'salah', 'guna', 'aju', 'aku', 'tolak', 'tks']"
percobaan,0,percobaan,coba,['coba'],['coba']
tolong kalau belum dicairkan tolong data data saya dijaga atau dihapus,0,tolong kalau belum dicairkan tolong data data saya dijaga atau dihapus,tolong kalau belum cair tolong data data saya jaga atau hapus,"['tolong', 'kalau', 'belum', 'cair', 'tolong', 'data', 'data', 'saya', 'jaga', 'atau', 'hapus']","['tolong', 'kalau', 'belum', 'cair', 'tolong', 'data', 'data', 'aku', 'jaga', 'atau', 'hapus']"
sementara 4dulu,0,sementara dulu,sementara dulu,"['sementara', 'dulu']","['sementara', 'dulu']"
belum tau hasilnya ksh bintnag 1 dlu,0,belum tau hasilnya ksh bintnag dlu,belum tau hasil ksh bintnag dlu,"['belum', 'tau', 'hasil', 'ksh', 'bintnag', 'dlu']","['belum', 'tau', 'hasil', 'ksh', 'bintnag', 'dulu']"
"mudah""n di acc",0,mudah n di acc,mudah n acc,"['mudah', 'n', 'acc']","['mudah', 'dan', 'terima']"
bisa bantu daxa,0,bisa bantu daxa,bisa bantu daxa,"['bisa', 'bantu', 'daxa']","['bisa', 'bantu', 'daxa']"
baru mau nyoba jd bintang 3 dulu,0,baru mau nyoba jd bintang dulu,baru nyoba jd bintang dulu,"['baru', 'nyoba', 'jd', 'bintang', 'dulu']","['baru', 'coba', 'jd', 'bintang', 'dulu']"
baru coba...kli aja acc,0,baru coba kli aja acc,baru coba kli acc,"['baru', 'coba', 'kli', 'acc']","['baru', 'coba', 'kli', 'terima']"
no comment,0,no comment,no comment,"['no', 'comment']","['no', 'komentar']"
coba aja dlu jika bisa saling menguntungkan ta kasih ful,0,coba aja dlu jika bisa saling menguntungkan ta kasih ful,coba dlu jika bisa saling untung ta kasih ful,"['coba', 'dlu', 'jika', 'bisa', 'saling', 'untung', 'ta', 'kasih', 'ful']","['coba', 'dulu', 'jika', 'bisa', 'saling', 'untung', 'ta', 'kasih', 'ful']"
acc tolong,0,acc tolong,acc tolong,"['acc', 'tolong']","['terima', 'tolong']"
